,driverId,driverRef
10367,-0.36106691144268416,pizzonia
11266,-0.2573173588595137,friesacher
4657,-0.6097886706877204,panis
9346,-0.6494496469350467,gene
10414,-0.4493973205211489,matta
11103,-0.3423184809457,pantano
11230,-0.440625199838369,baumgartner
11320,-0.41446806796749835,bruni
4493,-0.33095901561791463,frentzen
9014,-0.7561240728292767,verstappen
10610,-0.3308119594026468,firman
11250,-0.3662808528645722,wilson
24840,-0.21287237277537524,kiesa
4919,-0.2377709477090543,irvine
9542,-0.6932406896883502,salo
10112,-0.39593903710590717,mcnish
10442,-0.6108254928298988,bernoldi
11117,-0.3776836110336867,yoong
5206,0.32874465731451014,hakkinen
9121,-0.35978468675009484,burti
9136,-0.2860748780500991,alesi
11000,-0.4707987956205876,mazzacane
11367,-0.5616628582726623,marques
24894,-0.19181964358577575,enge
9377,-0.5584503537038515,herbert
10790,-0.7822834864387374,diniz
5171,-0.6541769084327302,takagi
5655,0.513009589300555,damon_hill
10470,-0.7563686841723326,zanardi
25039,-0.07551473284655291,sarrazin
10129,-0.532877384128532,magnussen
10624,-0.3776836110336867,tuero
10726,-0.6455588162292463,nakano
10759,-0.6259666592827261,rosset
5368,0.005001176369965494,berger
5578,-0.7831436017768671,larini
11134,-0.8047024520607877,katayama
11366,-0.07551473284655291,sospiri
12892,-0.768592971617379,morbidelli
24261,-0.20199680447776253,fontana
10154,-0.5584503537038515,brundle
11338,-0.5950323110962055,montermini
11393,-0.6432586019390077,lamy
24830,-0.2780146799356361,lavaggi
11517,-0.590560693798862,blundell
11943,0.312815969951461,mansell
12393,-0.7619139414956722,martini
13329,-0.8203830307853908,tarquini
13799,-0.8002018549019253,gachot
13881,-0.6169358406761002,wendlinger
13954,-0.7863459192772785,suzuki
14218,-0.7333430140920449,moreno
14655,-0.41446806796749835,inoue
14788,-0.23677068360822673,schiattarella
23086,-0.2573173588595137,boullion
24311,-0.23677068360822673,papis
24801,-0.19181964358577575,deletraz
11838,0.8945940762116874,senna
12527,-0.43411123543107005,alboreto
12823,-0.7589163410094204,lehto
13060,-0.6904145467875443,bernard
13270,-0.5786279677672408,belmondo
13398,-0.7685499185753295,comas
13533,-0.7031277785048133,cesaris
13744,-0.6445458448115737,fittipaldi
13787,-0.2780146799356361,beretta
14694,-0.8007398738052987,alliot
14795,-0.6259666592827261,brabham
19336,-0.7927572063091893,dalmas
24462,-0.2635568542327087,gounon
24864,-0.18232175792492794,adams
25024,-0.18232175792492794,lagorce
25026,-0.19181964358577575,noda
25045,-0.19181964358577575,ratzenberger
11577,0.968627957240884,prost
12134,-0.33139314245243445,patrese
12513,-0.24412748555863004,andretti
13000,-0.6844091361810843,capelli
13108,-0.4625537053358183,boutsen
13297,-0.42925973006755686,barbazza
14292,-0.629219722317236,warwick
24861,-0.2244607445698498,naspetti
24897,-0.07551473284655291,apicella
25029,-0.18232175792492794,toshio_suzuki
12742,-0.7699180038981455,gugelmin
13458,-0.81011824187709,grouillard
13520,-0.2780146799356361,chiesa
14495,-0.7315813155135363,modena
14832,-0.6108254928298988,poele
14865,-0.23677068360822673,mccarthy
23267,-0.7463219504569226,lammers
25048,-0.19181964358577575,amati
14011,0.23780113497439198,piquet
14454,-0.708680525213639,pirro
14575,-0.7359059021569331,satoru_nakajima
14861,-0.20199680447776253,bartels
14872,-0.7891805141734746,caffi
20884,-0.4399638638218004,johansson
23389,-0.440625199838369,bailey
24105,-0.3253533714511215,chaves
25031,-0.18232175792492794,hattori
19890,-0.489513271250864,foitek
20089,-0.7494809962517714,giacomelli
22425,-0.35978468675009484,barilla
22440,-0.4434663438470753,nannini
22517,-0.35978468675009484,donnelly
23472,-0.6541769084327302,schneider
24118,-0.3423184809457,langes
25051,-0.18232175792492794,gary_brabham
15193,-0.32672255695659863,arnoux
19238,-0.7553836685241101,palmer
19381,-0.8201921218045577,ghinzani
21797,-0.6059235252454488,cheever
22532,-0.39593903710590717,raphanel
22635,-0.4707987956205876,larrauri
22652,-0.6432586019390077,sala
23409,-0.7447962386829301,danner
24132,-0.2780146799356361,weidler
24142,-0.23677068360822673,joachim_winkelhock
24883,-0.2244607445698498,bertaggia
20824,-0.7145329475181325,streiff
22699,-0.4707987956205876,campos
24915,-0.18232175792492794,schlesser
22113,-0.6775254238555156,fabi
23242,-0.3089490281221568,fabre
25014,-0.18232175792492794,forini
14947,-0.26196516898658445,keke_rosberg
15079,-0.32422234539985867,angelis
15352,-0.44463538230401356,tambay
15543,-0.02802959410663084,jones
15659,-0.2526161180538598,laffite
19914,-0.739902543147526,surer
23488,-0.34347533652634316,dumfries
23504,-0.5950323110962055,rothengatter
24845,-0.2635568542327087,berg
16328,-0.3295663795593556,watson
16486,0.27019540058465025,lauda
20033,-0.7903488927674001,manfred_winkelhock
21774,-0.44406511361144757,bellof
22213,-0.6969291058353535,baldi
23049,-0.45199066960918116,hesnault
24612,-0.2635568542327087,acheson
20772,-0.49668785157351225,cecotto
23068,-0.41446806796749835,corrado_fabi
24807,-0.24980443078563194,gartner
25054,-0.21287237277537524,thackwell
17395,-0.7283203348890404,jarier
20000,-0.6259666592827261,boesel
22184,-0.33689974243821474,sullivan
22240,-0.6432586019390077,serra
23167,-0.680994454108701,salazar
23533,-0.6108254928298988,guerrero
25060,-0.19181964358577575,villeneuve_sr
15492,-0.11280368917766051,gilles_villeneuve
15902,0.13681915132051178,reutemann
16660,-0.19010532285997367,pironi
16734,-0.5452879715818357,mass
16857,-0.1941126161027219,mario_andretti
20980,-0.7140754996871793,daly
22860,-0.7121616956325866,keegan
23097,-0.7121616956325866,henton
23643,-0.3483422145941549,borgudd
23652,-0.3089490281221568,lees
24149,-0.24980443078563194,paletti
24157,-0.3423184809457,villota
24948,-0.21287237277537524,byrne
22552,-0.6379022546091762,jabouille
23361,-0.3253533714511215,stohr
23561,-0.7123233900000068,rebaque
23619,-0.39593903710590717,gabbiani
23666,-0.2931558463884634,zunino
24975,-0.18232175792492794,francia
25064,-0.18232175792492794,cogan
25472,-0.20199680447776253,guerra
25560,-0.07551473284655291,londono
15988,0.19741810168172283,scheckter
16130,-0.1300663154175536,regazzoni
16390,-0.1536733832293605,depailler
16995,-0.7361256570704626,brambilla
17058,0.02890145644182032,emerson_fittipaldi
23674,-0.18232175792492794,needell
23676,-0.23677068360822673,kennedy
23699,-0.6108254928298988,ertl
25562,-0.07551473284655291,desire_wilson
25576,-0.07551473284655291,south
17735,-0.14841401549773678,ickx
19488,-0.6643811047218807,stuck
20174,-0.7677829499954121,merzario
21062,0.046469951244266804,hunt
23723,-0.45199066960918116,ribeiro
24171,-0.19181964358577575,brancatelli
24471,-0.21287237277537524,gaillard
17277,-0.06707281784838644,peterson
19658,-0.7135538522723534,stommelen
23381,-0.35978468675009484,binder
24174,-0.7533592887040816,lunger
24630,-0.2244607445698498,trimmer
24953,-0.21287237277537524,bleekemolen
24958,-0.07551473284655291,gimax
24960,-0.21287237277537524,leoni
25008,-0.19181964358577575,colombo
25058,-0.18232175792492794,rahal
25492,-0.19181964358577575,galica
25497,-0.2244607445698498,ongais
17219,-0.4653169014437266,pace
19577,-0.5682131806661067,pryce
21218,-0.3089490281221568,schuppan
21340,-0.6851211043681369,oliver
21939,-0.31570940712733214,nilsson
22894,-0.3776836110336867,edwards
23683,-0.23677068360822673,hayje
23739,-0.45199066960918116,ian_scheckter
23762,-0.35978468675009484,perkins
24096,-0.2931558463884634,purley
24372,-0.3253533714511215,neve
24624,-0.07551473284655291,sutcliffe
24631,-0.07551473284655291,mcguire
24632,-0.18232175792492794,kozarowitzky
24674,-0.2931558463884634,ashley
24942,-0.2228616206013966,zorzi
24964,-0.20199680447776253,pilette
24968,-0.2244607445698498,kessel
25034,-0.2244607445698498,hoffmann
25065,-0.07551473284655291,heyer
25066,-0.18232175792492794,takahara
25068,-0.07551473284655291,takahashi
25069,-0.18232175792492794,hoshino
25567,-0.21287237277537524,andersson
25573,-0.07551473284655291,dryver
18152,-0.7228975028563449,pescarolo
20427,-0.4724184431643414,amon
22272,-0.24980443078563194,leclere
23777,-0.3089490281221568,evans
23797,-0.3902488480342366,lombardi
24668,-0.20199680447776253,pesenti_rossi
24926,-0.19181964358577575,stuppacher
24984,-0.24980443078563194,wilds
25071,-0.07551473284655291,hasemi
25558,-0.18232175792492794,magee
