raceId,year,circuitId,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,driverId,constructorId,grid,results_positionOrder,circuit_country,constructor_wins,constructor_nationality,driver_nationality,driver_wins,driver_age,Unnamed: 0,qualifying_position,q1_time_ms,q2_time_ms,q3_time_ms,results_points
51,2007,0.31885559340562003,0.0,0.0,0.0,1.0,0.0,0.35530221024768355,-0.6618636158540444,10,5,9,-0.3190270159705307,-0.8692407920079599,33,-0.3190270159705307,0.5,1040,10.0,9792.0,10371.0,10185.0,4.0
68,2006,0.31885559340562003,0.0,0.0,0.0,1.0,0.0,0.35530221024768355,-0.6618636158540444,4,4,9,0.4165074930726372,-0.8692407920079599,33,0.4165074930726372,0.44999999999999996,1418,4.0,11309.0,11062.0,11003.0,5.0
89,2005,0.31885559340562003,1.0,0.0,0.0,0.0,0.0,0.35530221024768355,-0.4902543132256861,4,8,9,-0.3190270159705307,-0.3023279369382998,33,-0.3190270159705307,0.3999999999999999,1841,4.0,10201.0,27578.0,27352.0,1.0
105,2004,0.31885559340562003,1.0,0.0,0.0,0.0,0.0,0.35530221024768355,-0.4902543132256861,3,2,9,-0.3190270159705307,-0.3023279369382998,33,-0.3190270159705307,0.3500000000000001,2161,3.0,9695.0,27578.0,27352.0,8.0
340,2010,0.31885559340562003,0.0,0.0,0.0,1.0,0.0,0.35530221024768355,0.3364058758658942,5,1,9,1.152042002115805,-0.3023279369382998,33,1.152042002115805,0.6499999999999999,4172,5.0,9722.0,9943.0,10379.0,25.0
843,2011,0.31885559340562003,1.0,0.0,0.0,0.0,0.0,0.35530221024768355,0.3364058758658942,2,4,9,-0.3190270159705307,-0.3023279369382998,33,-0.3190270159705307,0.7,4604,2.0,10424.0,10062.0,9821.0,12.0
882,2013,0.31885559340562003,1.0,0.0,0.0,0.0,0.0,0.35530221024768355,0.3364058758658942,8,5,9,-0.3190270159705307,-0.3023279369382998,33,-0.3190270159705307,0.8,5512,8.0,10267.0,10284.0,13173.0,10.0
34,2008,0.31885559340562003,0.0,0.0,1.0,0.0,0.0,0.35530221024768355,-0.6618636158540444,18,16,9,-0.3190270159705307,-0.8692407920079599,33,-0.3190270159705307,0.55,687,18.0,9753.0,27578.0,27352.0,0.0
903,2014,0.31885559340562003,0.0,0.0,1.0,0.0,0.0,0.35530221024768355,0.3364058758658942,12,11,9,-0.3190270159705307,-0.3023279369382998,33,-0.3190270159705307,0.8500000000000001,5958,12.0,12483.0,12563.0,27352.0,0.0
928,2015,0.31885559340562003,0.0,0.0,0.0,0.0,0.0,0.35530221024768355,0.3364058758658942,17,14,9,-0.3190270159705307,-0.3023279369382998,33,-0.3190270159705307,0.8999999999999999,6327,17.0,10176.0,27578.0,27352.0,0.0
